FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name,FLAG
1,0,2829.96,32035.63,1,9,0,16.120589,2.168673,19.517005,19.5170047,0.00105,0,0,0,0,1,0
0,1710.28,1258.47,728812.33,263,222,0,2500.49916,108.095687,97.781214,25716.45923,-1719.216792,8529077.762,8508703.727,0,17,51,0
0,15.99,28969.79,144928.92,5,5,0,10,6.018563,6.018043,30.09021542,0.002601158,0,0,0,0,0,0
0,5266.17,2079.55,477202.53,61,75,0,100.42,37.400162,45.983206,2804.975576,0.036540002,44.43043839,0,0,0,4,0
0,23414.41,15955.35,736417.52,26,8,0,33.99,14.932481,7.8763,204.7837956,-85.32394475,1322.499249,0,0,0,12,0
0,14087.54,2223.62,60051.58,3,8,0,14.826144,7.327447,19.539289,58.61786659,0.001711752,603.888216,0,0,0,2,0
0,0,0,8.22,0,1,1,1.3716,1.3716,0,0,1.3716,0,0,0,0,0,0
0,161.5,0,323,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,14218.1,412324.93,0,29,0,40,23.724138,0,0,688,4598776.195,0,0,0,21,0
0,2.93,0.42,9.63,3,2,0,1163.145355,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,651.52,44441.43,1045767.9,923,10,0,10,2.613806,0.150071,138.5159923,-112.3779371,365,0,0,0,2,0
0,0,0,25.45,1,1,0,1.933135,1.933135,1.932552,1.932552285,0.000582715,0,0,0,0,0,0
0,0,0,39.15,1,1,0,1.409452,1.409452,1.408948,1.40894829,0.000504,0,0,0,0,0,0
0,1.56,0,4.67,3,2,0,1476.834868,1000.5,666.99939,2000.998169,0.001830667,0,0,0,0,0,1
1,0,29.62,6187.93,1,4,0,1,0.733918,2.934812,2.934812,0.000861,0,0,0,0,1,0
0,2.74,0,8.23,3,2,0,1038.469658,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,32673.7,54225.86,293372.35,4,3,0,10,4.843387,3.631067,14.52427,0.00589,701.9948103,100,0,1,8,0
0,0,0,2.35,1,1,0,2.325925,2.325925,2.325139,2.32513936,0.00078606,0,0,0,0,0,0
0,6.66,6501.21,130157.37,20,20,0,410,117.169775,117.169111,2343.382229,0.013263234,0,0,0,0,0,0
0,0.79,5058.21,25295.02,5,5,0,0.563021,0.332478,0.331638,1.658188208,0.0042,0,0,0,0,0,0
0,160.92,0.05,322.5,2,13,0,8.499496,7.769231,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,8283.15,62337.46,838736.5,26,10,1,211.324604,36.627481,14.726645,382.8927612,-16.61794746,331670.2916,202637.6798,0,6,14,0
1,0,536.85,17935.3,1,7,0,5,1.130203,7.910559,7.910559158,0.000861,1.337,0,0,0,1,1
0,0,0,3.35,1,1,0,2.9875,2.9875,2.987028,2.987028364,0.000471636,0,0,0,0,0,0
0,166.16,0.21,332.73,2,2,0,66.568311,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,6030.21,12579.59,68408.98,3,4,0,0.495,0.139894,0,0,0.559574225,243.2059775,178630.51,0,1,7,0
1,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,1,1
0,5.63,1391.33,305923.5,217,219,0,1.004368,0.35144,0.353498,76.70896205,0.256362089,0,0,0,0,0,0
0,0,1553.26,226775.5,0,146,1,1.646992,0.625732,0,0,91.35689989,1.934497029,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,6.08,141.26,77826.12,510,529,0,9.999791,2.806656,2.910413,1484.310606,0.410166216,1.426325603,1.426325603,0,1,1,0
0,2.12,0.92,21206.93,9996,4,3,20,11,0,0,44,3106124509,100,0,1,29,0
0,10.3,28988.76,463984.88,16,16,0,5.004578,1.328537,1.32707,21.23311427,0.023478615,0,0,0,0,0,0
0,0,1490.01,201151.07,0,135,1,1.152658,0.396618,0,0,53.54340471,1.76946877,0,0,0,2,0
1,31.58,0,94.73,3,1,0,11,11,3.666184,10.998551,0.001449,0,0,0,0,1,1
1,1511.16,435.85,5841.03,3,3,0,23.995,8.749751,8.749,26.247,0.0022516,1.337,0,0,0,1,1
0,280.06,97592.18,293616.7,3,3,0,0.312048,0.204863,0.20438,0.613141,0.001449,13.37,0,0,0,1,1
1,0,381.32,8077.95,1,11,0,1.99879,0.982368,10.804977,10.80497707,0.001066,1.337,0,0,0,1,1
0,0,214.21,909754.48,0,4247,1,1,0.00048,0,0,2.036687015,0.000002,0,0.000002,0,1,0
1,0,0,13183.12,1,1,0,0.64,0.64,0.639139,0.639139,0.000861,1.337,0,0,0,1,1
0,0,1444.76,319291.53,0,221,1,1.638875,0.901066,0,0,199.135681,8.923476495,0,0,0,4,0
0,2.07,0,6.2,3,2,0,1475.696073,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,34793.92,0,278351.38,8,0,0,0,0,0.001008,0.00806646,-0.00806646,5.84E-09,5.84E-09,0,1,1,0
0,19.91,0,59.73,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,3.53,4351.99,1036611.32,237,238,0,1.9997,0.73046,0.732875,173.6914851,0.158088844,100.01,0,0,0,2,0
0,8770.2,117277.82,1008384.1,8,8,0,9.078019,3.019727,2.765625,22.125,2.03281732,0.533020808,0,0,0,1,0
0,0,13338.34,226751.72,0,17,1,105.964449,16.146862,0,0,274.4966488,0.689595617,0,0,0,2,0
0,6900.67,7993.31,1188813.58,141,27,0,2428.901417,280.702992,56.310753,7939.816235,-360.8354499,2091652.96,2080091.879,0,19,25,0
0,58574.26,0,175722.77,3,1,0,7.080303,7.080303,2.359833,7.0795,0.000802697,69356,69300,0,1,3,0
0,3.48,0,10.43,3,2,0,1849.028375,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,0,12506.19,200098.98,0,16,1,19.77,5.345456,0,0,85.5273,2.422381996,0,0,0,2,0
0,14626.26,6594.93,955278,59,14,0,1100,167.979641,43.052269,2540.083853,-188.368881,1555219.09,1545239.028,0,12,23,0
0,11160.05,4734.65,671971.85,53,17,0,0.7,0.32932,0.101045,5.355408334,0.243034874,12194.83763,2838.768831,0,21,30,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,23.88,1,1,0,3.608889,3.608889,3.608269,3.60826874,0.00062,0,0,0,0,0,0
0,0,347.07,191237.18,0,551,1,83.323348,2.048649,0,0,1128.805574,19.9,0,0,0,3,0
0,0,155.33,15909.2,1,2,0,2.33203,1.297302,2.593891,2.593890756,0.000714034,0,0,0,0,0,0
0,23.88,0.18,72,3,2,0,93.210088,50.5,33.666151,100.9984519,0.001548055,0,0,0,0,0,0
0,568.34,2074.28,156518.43,217,16,0,15.7,3.961816,0.43093,93.51186242,-30.1228122,36824.51292,36815.76187,0,8,10,0
0,0,0,60301.58,1,1,0,1,1,0.999559,0.999559,0.000441,0.075326298,0,0,0,1,0
0,158.37,0.84,318.42,2,2,0,78.045264,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,334.64,2680.68,1,2,0,65.995,33.045,66.089559,66.089559,0.000441,0,0,0,0,0,0
0,0,0,305.8,1,1,0,0.05,0.05,0.04938,0.04938,0.00062,0,0,0,0,0,0
0,4.09,7825.62,78297.17,10,10,0,7.195,4.1474,4.14683,41.4683043,0.0056957,0,0,0,0,0,0
0,107.72,59636.12,537586.8,8,9,0,13.32,3.519206,3.958469,31.66774972,0.005103,0,0,0,0,0,0
0,22.79,0,68.38,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,86885.88,19454.28,859790.03,9,4,0,30,9.37475,1.257675,11.31907636,26.17992364,2970.141074,500,0,1,21,0
0,58146.8,68553.37,728981.33,9,3,0,9.854268,6.018223,1.97195,17.74754889,0.30711888,27431.74044,6447.690014,0,5,11,0
0,14.08,18676.77,93454.25,5,5,0,1.30837,0.79509,0.792592,3.962961234,0.012487636,0,0,0,0,0,0
0,22597.81,133052.62,733056.53,3,5,0,5.02,2.229268,0,0,11.14633799,15087.05793,1.000000002,0,2,18,0
1,216.09,729.52,7213.98,3,9,0,0.8,0.252699,1.424333,4.273,-1.99870543,0,0,0,0,1,1
0,4065.86,1474.59,166929.13,28,36,0,20.00194,1.443682,1.855926,51.96593796,0.006603639,22497.9512,22438.16191,0,3,15,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,52044.54,30634.28,474662.65,5,7,0,48.119954,11.023673,15.432514,77.16257078,0.003143426,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,1,1
0,0,32887.26,263098.07,0,8,1,1.014997,0.81867,0,0,6.549358398,0,0,0,0,0,0
0,0,1906.93,192599.63,0,101,1,1.000858,0.368554,0,0,37.22391987,0.93676777,0,0,0,2,0
0,101886.09,2839.59,314177.05,3,3,0,80,27.033333,27.032597,81.09778956,0.002210436,221.6279701,0,0,0,5,0
1,21858.69,256.14,47559.53,2,15,0,7,1.826433,13.695,27.39,0.006502353,973.8498197,0,0,0,2,1
0,108922.21,9358.68,529275.62,4,10,0,0.077159,0.041262,0.102171,0.408685208,0.003930314,160.2491906,0,0,0,7,0
0,483.85,2500.12,113391.13,38,38,0,0.180031,0.150103,0.149682,5.687927823,0.015981003,0,0,0,0,0,0
0,5.71,0,17.12,3,2,0,1322.172115,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,22.51,57702.91,692705.02,12,12,0,17.165324,7.520673,7.516345,90.19614192,0.0519281,0,0,0,0,0,0
0,9.29,5224.66,104679.02,20,20,0,29.448176,16.585682,16.584408,331.6881684,0.02546468,0,0,0,0,0,0
0,0,3801.51,319327.22,0,84,1,1.005102,0.620867,0,0,52.15283878,71.80246931,0,0,0,5,0
0,21.56,0,64.68,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,20809.22,51501.24,310051.07,5,4,0,1.303354,0.626143,0.500343,2.501713986,0.002856764,0,0,0,0,0,0
0,19.74,0.14,79.38,4,3,0,66.99811,33.666667,25.249496,100.997984,0.002016,0,0,0,0,0,0
0,0,0,9.28,1,1,0,5.292872,5.292872,5.292252,5.29225227,0.00062,0,0,0,0,0,0
1,0,481.38,8183.52,0,17,0,4.069406,1.183064,0,0,20.11209179,1599,0,0,0,6,1
0,0,0,10.72,1,1,0,0.1,0.1,0.09938,0.09938,0.00062,0,0,0,0,0,0
1,5301.21,63.27,285646.08,53,74,0,880,15.558149,21.721885,1151.25988,0.043146035,568470.4338,553108.9758,0,8,52,1
0,0,981.25,291430.58,0,297,1,2.874991,1.050797,0,0,312.0866294,4.174092542,0,0,0,2,0
0,26024.5,19263.72,698587.03,15,16,0,16,4.394636,5.286612,79.29918731,-8.985018344,164815.0999,98505,0,2,9,0
0,29674.66,33966.34,538802.68,9,8,0,4.020277,1.039354,0.92321,8.308890519,0.005941131,0,0,0,0,0,0
0,674.61,221,11677.73,16,4,0,250.5,63.3775,15.825,253.2,0.31,18468.63835,0.901333333,0,4,11,0
0,3944.6,1870.38,34482.18,4,10,0,8.29,6.894,15.735809,62.943236,5.996764,1348.4167,0,0,0,11,0
0,5.88,0.42,18.47,3,2,0,1440.815594,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,128.05,2676.14,1044781.85,113,385,0,14.99,0.274234,0.933167,105.447907,0.13204982,371.1812976,0,0,0,6,0
0,23.79,0,71.38,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,52.81,4549.21,612068.8,133,133,0,2000,84.967084,84.966372,11300.5275,0.094658461,0,0,0,0,0,0
0,162.82,487.94,2603.55,7,3,0,0.234,0.128,0.053143,0.372,0.012,2514.965579,2514.965579,0,1,1,1
0,5835.99,9215.72,285373.17,11,24,0,33.995,12.584634,27.456862,302.0254821,0.005737725,15795.14883,10631.6,0,1,10,0
0,0,16276.87,390644.78,0,24,1,1.016043,0.839395,0,0,20.14548851,1.981164681,0,0,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,162.09,0.33,324.83,2,2,0,69.226785,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
1,1727.45,271.47,12709.32,5,15,0,9.82,1.524117,4.571489,22.8574437,0.004305,2.674,0,0,0,1,1
0,363.07,4272.16,1113096.07,230,241,0,5,0.882273,0.92321,212.3383337,0.289525598,0,0,0,0,0,0
1,3351.5,0,30163.47,9,1,0,5,5,0.554695,4.992251,0.007749,13.37,0,0,0,1,1
1,2754.12,517.46,9814.75,3,3,0,1.020475,0.714989,0.714686,2.14405764,0.00090924,0,0,0,0,1,1
0,0,0,5.92,1,1,0,22,22,21.99916,21.99916,0.00084,0,0,0,0,0,0
0,0,1512.57,201171.3,0,133,1,0.53531,0.20213,0,0,26.88332742,0.963698731,0,0,0,2,0
1,0,896.64,47641.15,1,10,0,2,0.644279,6.442345,6.442345019,0.000441,10877.41271,0,0,0,9,1
0,10.23,3985.82,31968.37,8,8,0,0.995,0.67981,0.679377,5.43501682,0.003465,0,0,0,0,0,0
0,0,27699.32,470888.42,0,17,1,0.1,0.017647,0,0,0.3,31250,0,0,0,1,1
0,8782.87,9575.43,768735.67,57,28,0,23.477,5.609592,2.998811,170.9322,-13.86363733,1549372.993,632570.0225,0,9,26,0
0,44.57,2269.13,6941.1,3,3,0,0.25,0.232103,0.231458,0.694374632,0.001935338,0,0,0,0,0,0
0,4795.17,0,52746.85,11,1,0,3.996448,3.996448,0.3628,3.9907986,0.005649,0,0,0,0,0,0
1,481.15,945.99,29823.23,3,30,0,6.366482,0.974037,9.739506,29.21851686,0.002583,1.337,0,0,0,1,1
0,20.44,9768.03,342473.72,29,35,0,212.859986,25.267236,30.491182,884.2442772,0.1089988,0,0,0,0,0,0
1,74120.64,253.61,446752.73,6,8,0,5.5,1.561177,2.081133,12.4868,0.00262,100.337,0,0,0,5,1
0,25.63,0,76.9,3,2,0,53.427954,50.5,33.666158,100.9984736,0.001526354,0,0,0,0,0,0
0,0,2159.58,226755.65,0,105,1,0.354629,0.189459,0,0,19.89317093,1.136137219,0,0,0,2,0
0,0,2417.91,132985.05,0,55,1,2.436,1.234828,0,0,67.9155301,0.781816227,0,0,0,1,0
0,5.54,0,55360.98,9999,1,0,0.278959,0.278959,4.931995,49315.0159,-49314.73694,1555784373,100,0,1,36,0
0,109.13,0,327.38,3,1,0,101,101,33.666176,100.9985267,0.001473262,0,0,0,0,0,0
0,12.29,631.46,1287.5,2,2,0,1,0.603787,0.602892,1.205783752,0.001789548,0,0,0,0,0,0
1,0,412.37,13785.13,1,10,0,6.109632,1.052941,10.529,10.529,0.0004125,0,0,0,0,1,1
0,0,25196.59,226769.35,0,9,1,145.127,25.021534,0,0,225.1938069,1.490388922,0,0,0,2,0
1,0,0,12620.85,1,1,0,0.5,0.5,0.499,0.499,0.001,0,0,0,0,1,1
1,12.66,20.05,65.42,2,2,0,10,7.5,7.4995,14.999,0.001,0,0,0,0,1,1
0,0,0,2557.08,1,1,0,1.012701,1.012701,1.01226,1.01226017,0.000441,0,0,0,0,0,0
0,0,2073.53,319322.88,0,154,1,1.197972,0.531882,0,0,81.90989038,11.02596283,0,0,0,4,0
0,0.78,7505.81,37532.92,5,5,0,13.002438,4.578098,4.577174,22.88587181,0.00462,0,0,0,0,0,0
0,0,4497.14,319297.02,0,71,1,0.524652,0.270489,0,0,19.20471339,3.583574223,0,0,0,4,0
0,29692.04,525.91,90653.83,3,3,0,18.74,6.331528,6.330653,18.99195975,0.002625572,0.075491362,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,1,1
0,102.19,0,306.57,3,1,0,101,101,33.666171,100.9985118,0.001488218,0,0,0,0,0,0
0,99.11,8153.28,123290.22,10,15,0,8.3,3.008593,4.512047,45.12047326,0.00842815,0,0,0,0,0,0
0,1.51,0.28,5.08,3,2,0,1576.051174,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,39340.24,9441.54,273807.62,6,4,0,0.42,0.275376,0.183013,1.098080501,0.003423,0.031637045,0,0,0,1,0
1,260.49,158.2,14169.92,38,27,0,115.048865,10.25182,7.283266,276.7641086,0.035043687,57097.44532,57081.10832,0,2,19,1
1,0,5.18,88.03,0,17,1,10,2.140515,0,0,36.38876002,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,4.58,107.14,2701.45,5,25,0,10,1.254398,6.271105,31.35552467,0.004428,1.337,0,0,0,2,1
0,2.11,0,6.32,3,2,0,1628.39952,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,22.14,0,66.43,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,157.73,0,315.47,2,1,0,101,101,50.499286,100.9985715,0.001428506,0,0,0,0,0,0
0,0,55.66,1540.77,1,3,0,4,1.791159,5.372976,5.37297636,0.0005,0,0,0,0,0,0
0,6.2,12970.92,999219.65,74,77,0,1950,139.405313,145.055439,10734.10249,0.106614403,500299.9,499999.9,0,1,2,0
0,71665.81,26919.57,815602.62,8,9,0,37.941211,13.655517,15.360732,122.8858597,0.013791916,0.45226043,0.45226043,0,1,1,0
0,162.67,0.82,326.97,2,2,0,71.625209,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,0,56.31,27819.42,0,494,0,0.02,0.00004,0,0,0.02,3.036723904,0,0,0,4,0
0,0,1063.57,176552.5,0,166,1,16.077896,0.263904,0,0,43.80804044,3.706360833,0,0,0,2,0
0,102.19,0,306.57,3,1,0,101,101,33.666171,100.9985118,0.001488218,0,0,0,0,0,0
1,0,0,0,0,1,0,0.05,0.05,0,0,0.05,1.337,0,0,0,1,1
0,3489.53,479.56,440786.35,62,468,0,4.142844,0.996382,7.52718,466.6851333,-0.378160539,444.1369328,0,0,0,3,0
0,9.95,4089.39,266447.13,64,65,0,1.131707,0.088644,0.089264,5.712911554,0.0489526,1E-10,0,0,0,1,0
0,2287.41,3593.72,67635.75,17,8,0,1.995,0.737081,0.462421,7.861153407,-1.964503397,3384.899888,5882.899888,0,5,6,0
0,167.35,0,669.4,4,2,0,1511.453853,1000.5,500.249559,2000.998236,0.001764,0,0,0,0,0,0
0,6377.5,26662.47,138537.38,5,4,0,21.6,6.019384,4.815123,24.07561623,0.001921772,601.551698,1.551698003,0,1,2,0
1,0,39.4,17111,1,44,0,5,0.833726,36.783539,36.78353906,-0.09958,0,0,0,0,1,1
0,10.58,14787.26,192361.32,12,13,0,30.415387,10.569135,11.448656,137.3838759,0.014883762,0,0,0,0,0,0
0,159.49,0.84,320.67,2,2,0,53.164995,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,45.89,0,458881.72,9999,1,2404,100,100,0,0,100,1383247.801,327417.9906,0,1816,26,0
0,0,2606.57,226771.23,0,87,1,1.008521,0.940666,0,0,81.8379298,3.721844893,0,0,0,3,0
0,0,0,106083,1,1,0,0.166116,0.166116,0.165675,0.16567455,0.00044184,0.012512933,0,0,0,1,0
0,22.72,170813.83,341695.82,3,2,0,101,50.5,35.165551,105.496652,-4.496652,0,0,0,0,0,0
1,2338.55,98,35470.23,15,4,0,9.5,2.8975,0.771797,11.57695204,0.01304796,1.337,0,0,0,1,1
0,2865.2,5363.26,85149.88,11,10,0,18.409679,7.394164,6.721514,73.93665022,0.00499026,0.069341433,0,0,0,1,0
0,3.21,0.38,10.38,3,2,0,1092.146496,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,4471.98,603.16,28038.22,6,2,0,5.75,2.88,1.457439,8.74463284,-2.98463284,0,0,0,0,0,0
0,162.06,0.53,325.17,2,2,0,53.433183,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,628.3,449862.18,0,716,1,4.026733,1.063666,0,0,761.5849408,1.291960667,0,0,0,2,0
0,164.18,0.82,329.98,2,2,0,96.810367,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,2.87,210.53,637.33,2,3,0,12.5,7.1,10.64948,21.29896,0.00104,0,0,0,0,0,0
0,0,610.36,379033.67,0,621,1,35,0.538338,0,0,334.3078214,0,0,0,0,0,0
0,25.06,0.49,76.17,3,2,0,53.611111,50.5,33.666163,100.998488,0.001512,0,0,0,0,0,0
0,21881.98,348288.3,740340.57,2,2,0,4.024671,2.014836,2.012111,4.024222139,0.005449141,19.55316359,0.303163587,0,1,2,0
0,0,0,11.7,1,1,0,3.891569,3.891569,3.891065,3.891065166,0.000504,0,0,0,0,0,0
0,164.01,1.23,330.47,2,2,0,51.641455,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,15.63,156255.3,0,9999,1,0,0,0,0,0,0,0,0,0,1,0
0,4.11,29833.75,59675.72,2,2,0,5.318655,3.256827,3.256382,6.512763064,0.000891636,0,0,0,0,0,0
0,194.26,29884.06,570711.12,15,19,0,16,4.271109,5.409098,81.13647309,0.014592532,0,0,0,0,0,0
0,23.23,0,69.68,3,1,0,101,101,33.998884,101.996652,-0.996652,0,0,0,0,0,0
0,5641.66,4009.83,149807.42,23,5,0,6,1.208,0.261787,6.021110176,0.018889824,131693.302,131693.302,0,1,9,0
0,7252.93,12074.23,608994.53,54,18,0,11,2.355087,0.783965,42.33409632,0.05747253,93846.59312,86720.71066,0,11,20,0
0,0,25014.67,200117.38,0,8,1,6.6,2.4475,0,0,19.58,0.879863432,0,0,0,2,0
0,163.83,0,327.67,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
1,0,172.34,1723.37,0,10,0,1.036386,0.59925,0,0,5.9925016,112.37,0,0,0,2,1
1,0,0,36132.68,1,1,0,1,1,0.999093,0.9990928,0.0009072,0,0,0,0,1,1
1,110527.4,61.56,222162.87,2,18,0,13,1.921199,17.28,34.56,0.02158744,2.337,0,0,0,4,1
1,1177.18,4572.9,41835.18,20,4,0,147,37.318312,7.462902,149.2580427,0.015203328,46143.32711,46143.32711,0,2,12,1
0,1390.69,10460.76,299067.45,27,25,0,99.995,17.972795,16.637985,449.2255919,0.094272728,4039.981931,4039.981931,0,1,1,0
0,0,1193.82,463200.85,0,388,1,1.057011,0.815149,0,0,316.2779288,0.459794566,0,0,0,2,0
0,0,2043.1,226784.6,0,111,1,0.421487,0.202148,0,0,22.43845016,1.211817725,0,0,0,2,0
0,7.1,0,21.3,3,2,0,1494.895621,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,0,1441.31,198901.02,0,138,1,2.436095,0.768069,0,0,105.9935508,1.216983608,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,1,1
0,0,0,56.48,1,1,0,0.999528,0.999528,0.998481,0.998481413,0.001046957,0,0,0,0,0,0
0,5.07,304.62,1238.77,4,4,0,1.5,0.5025,0.501794,2.007177605,0.002822395,0,0,0,0,0,0
0,13.29,5291.24,959668.07,147,181,0,9.99,3.718618,4.577797,672.9361577,0.133718224,0,0,0,0,0,0
0,19.77,6816.93,54693.57,8,8,0,1.483491,0.775874,0.775314,6.202514386,0.004477184,0,0,0,0,0,0
0,251968.55,441.12,505260.45,2,3,0,1.589514,1.246861,0.5,1,2.7405817,18001.18896,0,0,0,17,0
0,193,0,772.02,4,1,0,0.39,0.39,0.099442,0.39776788,-0.00776788,0,1,0,1,0,0
0,24.47,0,73.42,3,2,0,71.768873,50.5,33.666159,100.998477,0.001523001,0,0,0,0,0,0
0,12.84,3545.12,32021.65,9,9,0,36,25.771667,25.771191,231.9407158,0.004284209,0,0,0,0,0,0
0,21.51,0,64.52,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,2986.83,4371.28,726979.05,179,44,0,100.1,12.91995,3.297598,590.27,-21.7921998,91057179.23,72249002.72,0,25,46,0
0,0,0,50.38,1,1,0,0.087559,0.087559,0.086512,0.086512043,0.001046957,0,0,0,0,0,0
0,33.63,1810.22,414113.87,95,227,0,1.022724,0.443605,1.058226,100.5314617,0.166916557,397.5167844,0,0,0,6,0
1,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,1,1
0,3.58,0,10.73,3,2,0,1574.120926,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,6062.88,0,12125.75,2,1,0,0.67675,0.67675,0.337871,0.67574201,0.001008,0,0,0,0,0,0
0,4275.36,10813.3,40990.62,2,3,0,0.924291,0.325321,0.48754,0.975081,0.00088271,0,0,0,0,0,0
0,23.7,590.11,509889.9,823,831,0,4.59007,0.234468,0.236328,194.4975697,0.345681,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,3432.69,4309.93,956079.57,217,49,0,49.70045,10.617423,2.790373,605.511005,-85.25727989,1199597.169,896257.5429,0,24,54,0
0,5.82,2913.52,388265.52,132,133,0,1.74309,0.223223,0.224254,29.60155961,0.087141798,0,0,0,0,0,0
0,16.23,0,64.9,4,1,0,101,101,25.249475,100.9979,0.0021,0,0,0,0,0,0
0,160.78,0.5,322.55,2,2,0,55.671094,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,23.57,0.92,72.55,3,2,0,64.9117,50.5,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,0,1381.57,198945.93,0,144,1,10.48,0.874418,0,0,125.9161896,3.050671079,0,0,0,2,0
0,7.21,0,21.63,3,1,0,101,101,33.666121,100.998362,0.001638,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,1,1
